episode_id,episode_number,episode_title,publish_date,youtube_url,transcript_filename,relative_transcript_path,episode_type,guest_caller_name,main_topic,secondary_topics,topic_tags,semantic_keywords,short_summary,detailed_summary,key_takeaways,nicks_main_advice,caller_problem,resolution,memorable_quotes,potential_email_angles,suggested_email_subject_lines,potential_short_hooks,relevant_audience,emotional_themes,weight_loss_stage,cta_recommendation,transcript_status,review_notes,main_category,search_terms,hidden_concepts,central_struggle,core_coaching_theme,incidental_concepts_mentioned,success_story
EP-001,1,My 100 pound weight loss journey,2025-03-09,https://youtube.com/watch?v=b1yIcSyvglY,EP-001 - My 100 pound weight loss journey - EP 001.txt,../YT Transcripts/EP-001 - My 100 pound weight loss journey - EP 001.txt,Solo,,relationships,"[""food guilt"", ""social pressure"", ""sustainable habits"", ""weekend overeating""]","[""relationships"", ""food guilt"", ""social pressure"", ""sustainable habits"", ""weekend overeating""]","[""food guilt"", ""relationships"", ""social pressure"", ""sustainable habits"", ""weekend overeating""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (016)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""food guilt"", ""relationships"", ""social pressure"", ""sustainable habits"", ""weekend overeating""]",[],,,[],False
EP-002,2,How to stop gaining the weight back,2025-03-09,https://youtube.com/watch?v=EFJn-_IjbX0,EP-002 - How to stop gaining the weight back - EP 002.txt,../YT Transcripts/EP-002 - How to stop gaining the weight back - EP 002.txt,Solo,,maintenance mindset,"[""consistency"", ""cravings"", ""fear of regain"", ""identity change"", ""sustainable habits""]","[""maintenance mindset"", ""consistency"", ""cravings"", ""fear of regain"", ""identity change"", ""sustainable habits""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to maintain weight loss"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on maintenance mindset.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (017)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Weight Loss Maintenance,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to maintain weight loss"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-003,3,Alcohol & weight loss,2025-03-09,https://youtube.com/watch?v=cjKtwcDSRW4,EP-003 - Alcohol & weight loss - EP 003.txt,../YT Transcripts/EP-003 - Alcohol & weight loss - EP 003.txt,Solo,,sustainable habits,"[""consistency"", ""exercise routine"", ""relationships"", ""social pressure"", ""weekend overeating""]","[""sustainable habits"", ""consistency"", ""exercise routine"", ""relationships"", ""social pressure"", ""weekend overeating""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""exercise routine"", ""relationships"", ""social pressure"", ""sustainable habits"", ""weekend overeating""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (018)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""exercise routine"", ""relationships"", ""social pressure"", ""sustainable habits"", ""weekend overeating""]",[],,,[],False
EP-004,4,How to attract a healthy partner,2025-03-09,https://youtube.com/watch?v=abGYGvsrG8o,EP-004 - How to attract a healthy partner - EP 004.txt,../YT Transcripts/EP-004 - How to attract a healthy partner - EP 004.txt,Solo,,relationships,"[""confidence"", ""food guilt"", ""maintenance mindset"", ""motivation"", ""scale obsession""]","[""relationships"", ""confidence"", ""food guilt"", ""maintenance mindset"", ""motivation"", ""scale obsession""]","[""confidence"", ""food guilt"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scale obsession""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (019)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""confidence"", ""food guilt"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scale obsession""]",[],,,[],False
EP-005,5,How I overcame emotional & binge eating,2025-03-09,https://youtube.com/watch?v=TAnTfIdUn-I,EP-005 - How I overcame emotional & binge eating - EP 005.txt,../YT Transcripts/EP-005 - How I overcame emotional & binge eating - EP 005.txt,Solo,,binge eating,"[""consistency"", ""emotional eating"", ""food guilt"", ""relationships"", ""social pressure""]","[""binge eating"", ""consistency"", ""emotional eating"", ""food guilt"", ""relationships"", ""social pressure""]","[""I know what to do but I don't do it"", ""breaking binge cycles"", ""consistency over perfection"", ""food guilt"", ""how to stop emotional eating"", ""relationships"", ""social pressure"", ""why can't I stop binge eating"", ""why do I eat my feelings""]",An episode centered on binge eating.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (020)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Emotional Eating,"[""I know what to do but I don't do it"", ""breaking binge cycles"", ""consistency over perfection"", ""food guilt"", ""how to stop emotional eating"", ""relationships"", ""social pressure"", ""why can't I stop binge eating"", ""why do I eat my feelings""]",[],,,[],False
EP-006,6,From low calorie to healthy...,2025-03-09,https://youtube.com/watch?v=jT0fApu8Za0,EP-006 - From low calorie to healthy... | EP 006.txt,../YT Transcripts/EP-006 - From low calorie to healthy... | EP 006.txt,Solo,,binge eating,"[""emotional eating"", ""food guilt"", ""maintenance mindset"", ""nutrition"", ""relationships""]","[""binge eating"", ""emotional eating"", ""food guilt"", ""maintenance mindset"", ""nutrition"", ""relationships""]","[""breaking binge cycles"", ""food guilt"", ""how to stop emotional eating"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""why can't I stop binge eating"", ""why do I eat my feelings""]",An episode centered on binge eating.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (021)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Emotional Eating,"[""breaking binge cycles"", ""food guilt"", ""how to stop emotional eating"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""why can't I stop binge eating"", ""why do I eat my feelings""]",[],,,[],False
EP-008,8,Excuses stopping you from losing weight,2025-03-09,https://youtube.com/watch?v=79NKZUTqoEw,EP-008 - Excuses stopping you from losing weight - EP 008.txt,../YT Transcripts/EP-008 - Excuses stopping you from losing weight - EP 008.txt,Solo,,self-sabotage,"[""maintenance mindset"", ""nutrition"", ""relationships"", ""social pressure"", ""sustainable habits""]","[""self-sabotage"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""social pressure"", ""sustainable habits""]","[""maintenance mindset"", ""nutrition"", ""relationships"", ""self-sabotage"", ""social pressure"", ""sustainable habits""]",An episode centered on self-sabotage.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (022)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""maintenance mindset"", ""nutrition"", ""relationships"", ""self-sabotage"", ""social pressure"", ""sustainable habits""]",[],,,[],False
EP-009,9,The dark side of being fat + Q&A,2025-03-09,https://youtube.com/watch?v=C6Y2wwGdEgs,EP-009 - The dark side of being fat + Q&A - EP 009.txt,../YT Transcripts/EP-009 - The dark side of being fat + Q&A - EP 009.txt,Q&A,,relationships,"[""maintenance mindset"", ""motivation""]","[""relationships"", ""maintenance mindset"", ""motivation""]","[""maintenance mindset"", ""motivation"", ""relationships""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (023)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""maintenance mindset"", ""motivation"", ""relationships""]",[],,,[],False
EP-010,10,How to have a healthy relationship with food,2025-03-09,https://youtube.com/watch?v=dTyqVHE7EN8,EP-010 - How to have a healthy relationship with food - EP 010.txt,../YT Transcripts/EP-010 - How to have a healthy relationship with food - EP 010.txt,Solo,,food guilt,"[""binge eating"", ""cravings"", ""maintenance mindset"", ""relationships"", ""sustainable habits""]","[""food guilt"", ""binge eating"", ""cravings"", ""maintenance mindset"", ""relationships"", ""sustainable habits""]","[""breaking binge cycles"", ""food guilt"", ""how to stop food noise"", ""maintenance mindset"", ""relationships"", ""sustainable habits"", ""why can't I eat just one"", ""why can't I stop binge eating""]",An episode centered on food guilt.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (024)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""breaking binge cycles"", ""food guilt"", ""how to stop food noise"", ""maintenance mindset"", ""relationships"", ""sustainable habits"", ""why can't I eat just one"", ""why can't I stop binge eating""]",[],,,[],False
EP-011,11,How to conquer the 'all or nothing' mindset,2025-03-09,https://youtube.com/watch?v=e-1M9F3_OKk,EP-011 - How to conquer the 'all or nothing' mindset - EP 011.txt,../YT Transcripts/EP-011 - How to conquer the 'all or nothing' mindset - EP 011.txt,Solo,,all-or-nothing thinking,"[""binge eating"", ""calorie tracking"", ""consistency"", ""exercise routine"", ""sustainable habits""]","[""all-or-nothing thinking"", ""binge eating"", ""calorie tracking"", ""consistency"", ""exercise routine"", ""sustainable habits""]","[""I keep restarting every Monday"", ""I know what to do but I don't do it"", ""breaking binge cycles"", ""calorie tracking"", ""consistency over perfection"", ""exercise routine"", ""how to stop starting over"", ""sustainable habits"", ""why can't I stop binge eating""]",An episode centered on all-or-nothing thinking.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (025)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I keep restarting every Monday"", ""I know what to do but I don't do it"", ""breaking binge cycles"", ""calorie tracking"", ""consistency over perfection"", ""exercise routine"", ""how to stop starting over"", ""sustainable habits"", ""why can't I stop binge eating""]",[],,,[],False
