Episode Id,Episode Number,Episode Title,Publish Date,Youtube Url,Transcript Filename,Relative Transcript Path,Episode Type,Main Category,Central Question,Central Struggle,Core Coaching Theme,Primary Nick Framework,Secondary Nick Frameworks,Incidental Nick Concepts,Emotional Themes,Target Audience,Weight Loss Stage,Simple Tags,Topic Tags,Search Queries,Hidden Concepts,Myths Debunked,Key Takeaways,Caller's Questions (if episode is call-in)
EP-001,1,My 100 pound weight loss journey,2025-03-09,https://youtube.com/watch?v=b1yIcSyvglY,EP-001 - My 100 pound weight loss journey - EP 001.txt,../YT Transcripts/EP-001 - My 100 pound weight loss journey - EP 001.txt,Solo,Weight Loss Journey,"How did Nick move from lifelong obesity, repeated weight regain, unhealthy coping habits, and extreme exercise toward sustainable weight maintenance?","Years of overeating, excessive drinking, compulsive gaming, crash dieting, weight cycling, emotional avoidance, and temporary goals prevented lasting change.","Sustainable transformation required confronting the life he did not want, turning painful emotions into action, building self-respect through difficult commitments, and gradually improving his relationships with food, alcohol, exercise, and himself.",,,,"weight loss journey, 100 pound weight loss, yo-yo dieting, walking, running, weight maintenance","shame, anger, heartbreak, anxiety, pride, determination, inspiration, self-respect","People who feel trapped in lifelong obesity, repeated weight regain, unhealthy coping habits, or a lack of direction","Starting, Active Weight Loss, Maintenance","weight cycling, emotional avoidance, exercise obsession, identity transformation, self-discipline, relationship with food, sustainable maintenance","100 pound weight loss journey, how Nick Jopo lost weight, losing weight by walking, how to stop yo-yo dieting, maintaining 100 pound weight loss, weight loss and self-confidence","avoidance coping, emotional regulation, identity reconstruction, external validation, self-efficacy, cognitive reframing",Fit people succeed only because of genetics or steroids; reaching a goal weight permanently solves the problem; excessive exercise automatically creates health; weight loss alone produces a healthy relationship with food; painful emotions must be numbed or eliminated.,"Nick initially lost 75 pounds through extreme walking and restriction, but reaching the goal did not prevent regain because his habits and identity had not changed. Running gave him a purpose beyond the scale and taught him to channel painful emotions into action, but exercise eventually became another extreme. Long-term maintenance developed only after he improved food quality, reduced alcohol, observed how meals affected his body, and built genuine confidence, self-respect, and control over his habits.",
EP-002,2,How to stop gaining the weight back,2025-03-09,https://youtube.com/watch?v=EFJn-_IjbX0,EP-002 - How to stop gaining the weight back - EP 002.txt,../YT Transcripts/EP-002 - How to stop gaining the weight back - EP 002.txt,Solo,Weight Loss Maintenance,"Why do people regain weight after losing it, and how can they keep it off permanently?","Unsustainable weight loss methods, extreme dieting, daily scale obsession, biological hunger signals, and focusing on short-term results instead of lifelong habits.","Long-term weight loss comes from changing the mind first, building sustainable habits, and gradually evolving your lifestyle instead of chasing shortcuts.",Play the Long Game,Mind Over Body; Evolve Your Diet; Weekly Weigh-ins; Maintenance Calories,Set Point Theory; Leptin; Metabolism Adaptation; Biggest Loser Study; Calorie Deficit; Maintenance Calories; Sustainable Weight Loss,"regain weight, weight maintenance, calorie deficit, maintenance calories, metabolism, leptin, set point, weekly weigh-ins, yo-yo dieting, sustainable weight loss","patience, frustration, discipline, delayed gratification, consistency, self-trust",People who repeatedly lose weight but regain it or fear regaining after success,Transition to Maintenance; Maintenance; Active Weight Loss,"weight maintenance, preventing regain, calorie deficit, sustainable dieting, metabolism, habit building, long-term success","how to stop gaining weight back, why do people regain weight, weight loss maintenance, set point weight, maintenance calories, leptin after weight loss, metabolism after losing weight, biggest loser metabolism, sustainable weight loss","identity change, delayed gratification, sustainable habits, biological adaptation, long-term thinking, mindset over motivation",Fast weight loss is better; shortcuts work long term; you should listen to every craving; daily weigh-ins are the best progress tracker; you need a completely different diet to lose weight; healthy eating and weight loss are the same thing.,"Nick explains that nearly everyone regains weight because they use unsustainable methods instead of changing the habits that caused obesity. He emphasizes that the body biologically resists weight loss through reduced metabolism and increased hunger, so success depends on playing the long game, using moderate calorie deficits, trusting the mind over cravings, weighing weekly instead of daily, modifying existing meals instead of following crash diets, and gradually evolving from low-calorie eating toward a healthier, lifelong way of eating.",
EP-003,3,Alcohol & weight loss,2025-03-09,https://youtube.com/watch?v=cjKtwcDSRW4,EP-003 - Alcohol & weight loss - EP 003.txt,../YT Transcripts/EP-003 - Alcohol & weight loss - EP 003.txt,Solo,Alcohol & Weight Loss,How can you continue drinking alcohol while still losing weight and maintaining healthy habits?,"Alcohol disrupts hunger, sleep, routines, food choices, social boundaries, and often leads to overeating that extends beyond a single night.",Create intentional rules around alcohol so it becomes an occasional addition to a healthy lifestyle instead of something that controls your habits.,Intentional Drinking Rules,Protect Your Routine; Environmental Boundaries,Hunger Hormones; Empty Calories; Sleep Quality; Social Pressure; Weekend Routine; Hydration; Habit Recovery,"alcohol, drinking, weight loss, empty calories, hangover, sleep, social pressure, overeating, routine","temptation, social pressure, self-control, confidence, intentionality",People who want to lose or maintain weight without giving up alcohol completely,Active Weight Loss; Maintenance,"alcohol moderation, weekend habits, routine protection, habit maintenance, social boundaries, sleep, overeating prevention","alcohol and weight loss, can I drink alcohol and lose weight, alcohol calories, alcohol hunger, alcohol sleep quality, drinking without gaining weight, social drinking while dieting","identity change, environmental design, boundary setting, habit protection, delayed consequences, intentional living",Alcohol must be completely eliminated to lose weight; alcohol calories can replace food calories; alcohol improves sleep; one night of drinking only affects one night; moderation isn't possible for anyone.,"Alcohol is not inherently incompatible with weight loss, but it easily creates a cascade of poor decisions through hunger, worse sleep, fatigue, disrupted routines, and social pressure. Nick recommends setting personal drinking rules (limit drinks, don't replace food with alcohol calories, hydrate, drink earlier, wake up at the normal time, maintain next-day habits, and communicate boundaries) so alcohol becomes intentional rather than automatic.",
EP-004,4,How to attract a healthy partner,2025-03-09,https://youtube.com/watch?v=abGYGvsrG8o,EP-004 - How to attract a healthy partner - EP 004.txt,../YT Transcripts/EP-004 - How to attract a healthy partner - EP 004.txt,Solo,Relationships & Partner Selection,How can you attract and sustain a relationship with a healthy partner without abandoning your own healthy habits once you begin dating?,"Losing weight primarily to attract a partner creates a temporary goal, so healthy habits disappear once the relationship is secured and decisions begin coming from scarcity and fear of settling.","Become the kind of healthy, disciplined partner you want to attract, maintain those habits while dating, and connect your health to the ongoing responsibility of leading a healthy relationship and family.",,,,"healthy partner, dating, relationships, settling, healthy habits, partner selection","fear, scarcity, insecurity, regret, responsibility, hope, confidence","People who want a healthy relationship but struggle with settling, dating confidence, or abandoning healthy habits after finding a partner","Active Weight Loss, Maintenance","scarcity mindset, relationship standards, fear of settling, identity transformation, healthy leadership, habit maintenance, future family","how to attract a healthy partner, losing weight for dating, how to stop settling in relationships, maintaining healthy habits while dating, finding a health-conscious partner, weight loss and relationship confidence","future-self visualization, identity reconstruction, scarcity mindset, self-worth, behavioral modeling, values alignment",Finding a partner means the work on yourself is finished; losing weight alone makes you ready for a healthy relationship; you must settle because healthy partners are scarce; relationship health is achieved once rather than maintained continuously.,"Attracting a healthy partner requires more than reaching a lower weight; it requires becoming and remaining healthy in your habits, confidence, and lifestyle. Visualize the kind of partner and relationship you want, honestly assess whether your current behavior aligns with that vision, stop choosing from scarcity, and replace the temporary goal of attracting someone with the lifelong responsibility of leading a healthy relationship and modeling those habits for future children.",
EP-005,5,How I overcame emotional & binge eating,2025-03-09,https://youtube.com/watch?v=TAnTfIdUn-I,EP-005 - How I overcame emotional & binge eating - EP 005.txt,../YT Transcripts/EP-005 - How I overcame emotional & binge eating - EP 005.txt,Solo,Emotional & Binge Eating,How can someone interrupt emotional eating and binge eating by understanding what drives the behavior and changing what happens before and after a binge?,"Using food to escape stress, anxiety, boredom, dissatisfaction, and fear of regain, while restriction and intermittent fasting intensify hunger and create repeated binge cycles.","Identify the life emotions behind the urge, document how foods and binges affect you, pause before acting, and avoid compensatory restriction by returning to regular nourishing meals after a binge.",,,,"emotional eating, binge eating, intermittent fasting, OMAD, food journal, binge cycle, overeating","shame, anxiety, boredom, loneliness, fear, self-awareness, hope, self-trust",People using food to cope with difficult emotions or cycling between restriction and large binges,"Active Weight Loss, Maintenance","emotional eating, binge eating, restriction-rebound cycle, fear of regain, emotional regulation, food journaling, self-observation, regular eating","how to stop emotional eating, how to stop binge eating, emotional eating after stress, intermittent fasting causing binge eating, what to do after a binge, how to break a binge cycle, food journal for binge eating","avoidance coping, emotional regulation, interoceptive awareness, self-monitoring, cognitive reframing, delayed response",Emotional eating is only a food problem; intermittent fasting works for everyone; the correct response to a binge is to skip meals the next day; having an emotional connection to food means you are an emotional eater; one binge removes your ability to choose differently.,"Emotional eating often uses food to escape problems elsewhere in life, while binge eating can be intensified by prolonged restriction and extreme hunger. Record what you eat and how you feel before, immediately after, and an hour later; list the life stressors that may be driving the urge; document binges honestly; delay the decision for an hour while walking, drinking water, or contacting someone; and eat normal nourishing meals the following day instead of restricting, so one binge does not become a continuing cycle.",
EP-006,6,From low calorie to healthy...,2025-03-09,https://youtube.com/watch?v=jT0fApu8Za0,EP-006 - From low calorie to healthy... | EP 006.txt,../YT Transcripts/EP-006 - From low calorie to healthy... | EP 006.txt,Solo,Nutrition Quality,How can you evolve from simply eating fewer calories to building a nutritious diet that feels good and remains sustainable for life?,"Focusing only on calories and protein can produce weight loss while leaving the body undernourished, low-energy, and vulnerable to binge eating and regain.","Gradually evolve from reducing calories, to understanding portions and protein, to prioritizing whole foods based on how they affect your energy, digestion, sleep, and overall wellbeing.",Common Sense Diet,,,"whole foods, low calorie foods, protein, intermittent fasting, OMAD, binge eating, meal planning, processed foods","frustration, deprivation, curiosity, hope, empowerment, self-trust","People who are losing or maintaining weight through low-calorie processed foods but still feel tired, hungry, or physically unwell","Active Weight Loss, Maintenance","food quality, sustainable nutrition, diet evolution, binge eating, calorie restriction, processed foods, relationship with food, gradual habit change","low calorie vs healthy food, how to improve diet quality, whole foods for weight loss, why low calorie foods make me feel bad, protein and calories for weight loss, intermittent fasting binge eating, how to transition away from processed diet foods","behavioral experimentation, interoceptive awareness, cognitive reframing, restriction-rebound cycle, habit shaping",Low calorie automatically means healthy; hitting calorie and protein targets is enough for long-term wellbeing; processed high-protein foods are equivalent to whole foods; the best diet should be adopted perfectly from day one; intermittent fasting is sustainable for everyone.,"Weight loss can begin with calorie reduction, but long-term health requires more than fitting processed foods into calorie and protein targets. Track how meals affect your energy, digestion, sleep, and mood; gradually replace highly processed foods with nourishing whole foods; and allow your diet to evolve in deliberate stages rather than attempting an immediate perfect overhaul.",
EP-008,8,Excuses stopping you from losing weight,2025-03-09,https://youtube.com/watch?v=79NKZUTqoEw,EP-008 - Excuses stopping you from losing weight - EP 008.txt,../YT Transcripts/EP-008 - Excuses stopping you from losing weight - EP 008.txt,Solo,Mindset & Behavior Change,"Which common excuses actually prevent people from starting and sustaining weight loss, and how can they be overcome?","Feeling stuck behind excuses like lack of time, money, knowledge, good genetics, motivation, or fear of loose skin instead of taking consistent action.","Replace excuses with small, sustainable actions that build long-term habits, confidence, and self-trust rather than chasing perfect plans.",Baby Steps,Sustainable Habits; Identity Change; Self-Trust; Intentional Living; Progress Over Perfection,"Meal prep, walking, combining habits, loose skin, workout routines, meal planning, consistency, time management, self-belief","excuses, lack of time, meal prep, workout routine, meal plan, loose skin, metabolism, genetics, consistency, walking, habits","overwhelm, self-doubt, fear, hope, empowerment, self-belief",Beginners and people repeatedly delaying or avoiding weight loss because they feel unprepared or overwhelmed,"Pre-Action, Starting","excuses, consistency, habit building, time management, meal prep, exercise habits, sustainable weight loss, self-belief, mindset","excuses stopping weight loss, no time to lose weight, afraid of loose skin after weight loss, how to start exercising, how to build healthy habits, metabolism excuses, genetics and weight loss, sustainable meal planning","perfectionism, all-or-nothing thinking, identity shift, self-efficacy, intentionality, habit stacking, future-self thinking",You need lots of free time to lose weight; you need the perfect workout routine or meal plan before starting; healthy eating is too expensive; you need a gym membership; bad genetics make weight loss impossible; you must choose between self-love and self-improvement.,"Weight loss is simple but not easy. Most barriers are excuses created by overwhelm rather than true limitations. Start with the smallest sustainable habit, such as walking or making one meal slightly healthier. Build routines gradually, combine healthy habits with existing activities, trust yourself to handle future challenges like loose skin, and focus on lifelong consistency instead of rapid transformation.",
EP-009,9,The dark side of being fat + Q&A,2025-03-09,https://youtube.com/watch?v=C6Y2wwGdEgs,EP-009 - The dark side of being fat + Q&A - EP 009.txt,../YT Transcripts/EP-009 - The dark side of being fat + Q&A - EP 009.txt,Solo,Effects of Obesity,"How does obesity affect health, confidence, relationships, parenting, physical comfort, and everyday life beyond the number on the scale?","Obesity creates medical anxiety, physical limitations, shame, reduced confidence, social and relationship difficulties, and practical struggles that people often feel too embarrassed to discuss.","Use the painful realities of obesity as motivation for gradual, sustainable change while building confidence and healthier habits through small, intentional actions.",,,,"obesity, medical anxiety, dating while overweight, body image, clothing, back pain, parenting, weight loss Q&A","shame, loneliness, fear, embarrassment, hope, urgency, self-belief","People experiencing the physical, emotional, social, and practical consequences of obesity","Starting, Active Weight Loss","body image, obesity stigma, health anxiety, physical limitations, dating confidence, parenting fears, self-belief, sustainable habit change","dark side of obesity, problems caused by being overweight, dating while obese, clothing struggles when overweight, health anxiety and obesity, parenting while overweight, back pain from obesity, how to start losing weight sustainably","internalized shame, future-self visualization, external validation, identity reconstruction, cognitive reframing, self-efficacy",Obesity only affects appearance; losing weight automatically cures every mental or medical condition; successful weight loss requires an extreme diet; motivation must come before action; one specific food determines fat loss.,"Obesity can affect nearly every part of life, including health, mobility, posture, clothing, pictures, confidence, dating, sex, parenting, and social interaction. Weight loss may not solve every problem, but improving health can make those challenges easier to manage. Begin with small sustainable changes, focus on foods and routines that make you feel better, use discipline instead of waiting for motivation, and build confidence by repeatedly following through on manageable commitments.",
EP-010,10,How to have a healthy relationship with food,2025-03-09,https://youtube.com/watch?v=dTyqVHE7EN8,EP-010 - How to have a healthy relationship with food - EP 010.txt,../YT Transcripts/EP-010 - How to have a healthy relationship with food - EP 010.txt,Solo,Relationship With Food,"What does a healthy relationship with food actually look like, and how can you build one after years of restriction, binge eating, or food obsession?","Food controls decisions, social activities, and attention, while eating swings between mindless overeating and rigid control.","Build a balanced relationship with food by planning without obsessing, noticing how foods affect your body, tolerating cravings without immediately acting on them, and refusing to let one choice become a longer binge cycle.",,,,"relationship with food, food obsession, binge eating, food cravings, restrictive eating, mindful eating","shame, discomfort, hope, self-trust, freedom, self-compassion","People whose food fears, cravings, binge eating, or restrictive habits interfere with daily life and social situations","Active Weight Loss, Maintenance","food relationship, binge eating, food anxiety, restrictive eating, mindful eating, self-control, food guilt, behavioral flexibility","how to have a healthy relationship with food, how to stop obsessing over food, how to control binge eating urges, how to eat without guilt, food anxiety in social situations, how to stop restrictive eating, mindful eating for weight loss","emotional regulation, urge tolerance, self-observation, cognitive reframing, behavioral flexibility, self-trust",A healthy relationship with food means eating perfectly; fit people never binge or experience cravings; eating the same meals regularly is automatically obsessive; unhealthy foods must be avoided completely; one binge means food still controls you.,"A healthy relationship with food means food no longer controls your life. Plan enough to avoid aimless eating without measuring every detail, pause when cravings arise, consider how the food will make you feel afterward, and practice being around challenging foods without either avoiding them completely or overeating them. Occasional indulgence or binge urges do not define your relationship with food; what matters is responding without guilt, returning to normal eating at the next meal, and building trust through repeated moments of self-control.",
EP-011,11,How to conquer the 'all or nothing' mindset,2025-03-09,https://youtube.com/watch?v=e-1M9F3_OKk,EP-011 - How to conquer the 'all or nothing' mindset - EP 011.txt,../YT Transcripts/EP-011 - How to conquer the 'all or nothing' mindset - EP 011.txt,Solo,All-or-Nothing Thinking,How can you stop cycling between extreme effort and complete abandonment in weight loss?,"Treating food and exercise as something you are either fully “on” or fully “off” creates restriction, obsession, unsustainable routines, and rapid regain once the goal is reached.","Use intense periods as opportunities to learn, but build a realistic maintenance plan and gradually replace extremes with flexible habits that can last for life.",,,,"all-or-nothing thinking, keto, intermittent fasting, OMAD, calorie counting, overexercise, weight regain","obsession, pride, frustration, self-trust, freedom, fear of failure","People who repeatedly follow extreme diets or exercise plans, reach short-term goals, and then regain weight","Active Weight Loss, Maintenance","all-or-nothing thinking, diet cycling, fear of regain, perfectionism, maintenance mindset, food restriction, exercise obsession, behavioral flexibility","how to stop all or nothing thinking, why I regain weight after dieting, how to transition from weight loss to maintenance, extreme dieting and weight regain, how to find balance with food, keto all or nothing mindset, overexercise and weight loss","restriction-rebound cycle, cognitive rigidity, external validation, identity reconstruction, behavioral experimentation",Extreme diets are sustainable if they produce fast results; reaching a goal weight means the work is finished; eating one restricted food means the diet is ruined; balance prevents meaningful progress; counting calories or exercising intensely must continue forever.,"All-or-nothing approaches can produce rapid results and useful lessons, but they require a clear transition plan. The day after reaching a goal reveals whether sustainable habits were built. Learn from previous extremes instead of repeating them, stop labeling yourself as on or off a diet, identify foods and movement that make you feel good, and build enough flexibility to maintain progress without letting food or exercise control your life.",
